Ligand SMILES,Affinity_nM
[#6]-[#8]-c1ccc(\[#6]=[#6](\C#N)C#N)cc1,>400000
[#6]-[#8]-c1cc(-[#8]-[#6])cc(\[#6]=[#6](/C#N)C#N)c1,>400000
Fc1ccc(\[#6]=[#6](/C#N)C#N)cc1,>400000
[#6]-[#8]-c1cc(\[#6]=[#6](/C#N)C#N)cc(-[#8]-[#6])c1-[#8], 300000
[#8]-[#6](=O)-[#6]-[#6]-[#6](=O)-[#7]-c1ccc(\[#6]=[#6](/C#N)C#N)cc1, 240000
N#C\[#6](=[#6]/c1ccc(cc1)-[#7]-1-[#6]-[#6]-[#8]-[#6]-[#6]-1)C#N,>250000
[#8]-c1ccc(\[#6]=[#6](/C#N)C#N)cc1, 160000
[#6]C([#6])([#6])c1cc(\[#6]=[#6](/C#N)C#N)cc(c1-[#8])C([#6])([#6])[#6], 155000
[#8]-c1cc(\[#6]=[#6](/C#N)C#N)ccc1-[#7+](-[#8-])=O, 150000
[#8]-[#6](=O)\[#6]=[#6]\c1ccc(\[#6]=[#6](/C#N)C#N)cc1, 150000
[#8]-[#6](=O)-c1ccc(\[#6]=[#6](/C#N)C#N)cc1, 143000
[#8]-c1cccc(\[#6]=[#6](/C#N)C#N)c1, 123000
N#C\[#6](=[#6]/c1ccc2-[#8]-[#6]-[#8]-c2c1)C#N, 117000
[#6]-[#8]-c1cc(\[#6]=[#6](/C#N)C#N)ccc1-[#8], 67000
[#6]-[#8]-c1cc(\[#6]=[#6](/C#N)C#N)cc(c1-[#8])-[#7+](-[#8-])=O, 55000
[#6]-[#8]-c1cc(\[#6]=[#6](/C#N)C#N)cc(Br)c1-[#8], 50000
[#8]-c1ccc(\[#6]=[#6](/C#N)C#N)cc1-[#7+](-[#8-])=O, 49000
[#8]-c1ccc(c(\[#6]=[#6](/C#N)C#N)c1)-[#7+](-[#8-])=O, 24000
O=[#6]-c1ccc(\[#6]=[#6](/C#N)C#N)cc1, 20000
[#8]-c1cc(-[#8])cc(\[#6]=[#6](/C#N)C#N)c1, 10000
[#8]-c1ccc(\[#6]=[#6](/C#N)C#N)cc1-[#8], 11000
[#6]-[#8]-c1cc(\[#6]=[#6](/C#N)C#N)cc(-[#8])c1-[#8], 2200
[#8]-c1cc(\[#6]=[#6](/C#N)C#N)cc(-[#8])c1-[#8], 1000
OC(=O)C(=C\c1ccccc1)\C#N, 850000
COc1ccc(\C=C(/C#N)C(O)=O)cc1, 833000
OC(=O)C(=C\c1ccc(F)cc1)\C#N, 833000
COc1cc(\C=C(/C#N)C(O)=O)ccc1O, 325000
COc1cc(\C=C(/C#N)C(O)=O)cc(OC)c1O, 264000
OC(=O)C(=C\c1ccc(O)cc1)\C#N, 165000
OC(=O)C(=C\c1ccc(C=O)cc1)\C#N, 47000
OC(=O)C(=C\c1ccc(O)c(O)c1)\C#N, 25000
COc1cc(ccc1O)C(\C)=C(/C#N)C(O)=O, 341000
Oc1ccc(\C=C(/C#N)C(=O)NCC#N)cc1, 360000
Oc1cc(cc(O)c1O)C(=O)C(C#N)C#N, 4500
c1cc(c(cc1/C=C(\C#N)/C(=O)N)O)O, 3500
NC(=S)C(=C\c1ccc(O)c(O)c1)\C#N, 850
c1cc(ccc1/C=C/C(=O)O)O, 1000000
c1cc(c(cc1\C=C\C(=O)O)O)O, 400000
